"#","No.","Name","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm","Class"
"257","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","17","20","1:58.570","65.0","2:01:46.756","12:53:23.835","63","134","19","","3546842","0","","B"
"258","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","14","20","1:58.318","65.1","2:01:47.325","12:53:24.404","127","162","19","","2749874","0","","A"
"259","756","PlumCrazy 1998 dodge Neon (Purple)","18","20","1:57.974","65.3","2:02:47.375","12:54:24.454","73","144","19","","5795572","0","","B"
"260","172","Over Under Racing 1991 Mazda Miata (Blue)","18","20","1:57.300","65.7","2:02:48.063","12:54:25.142","76","138","19","","935284","0","",""
"261","248","Blakes Garage 2000 Mazda Miata (Black)","14","20","1:51.852","68.9","2:02:50.384","12:54:27.463","97","132","19","","2919703","0","","A"
"262","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","15","20","1:56.204","66.3","2:03:12.307","12:54:49.386","118","176","19","","3566992","0","","A"
"263","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","16","20","1:50.245","69.9","2:03:20.864","12:54:57.943","42","128","19","","1769140","0","","c"
"264","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","21","21","1:52.549","68.5","2:03:21.969","12:54:59.048","129","165","19","","2942111","0","","C"
"265","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","19","21","2:18.876","55.5","2:03:24.315","12:55:01.394","125","162","19","","4932257","0","","B"
"266","??","8842708","P 0","21","","0.0","","12:55:20.898","255","52","19","","8842708","0","",""
"267","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","15","21","1:57.773","65.4","2:03:45.098","12:55:22.177","119","159","19","","2749874","0","","A"
"268","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","18","21","2:00.553","63.9","2:03:47.309","12:55:24.388","76","139","19","","3546842","0","","B"
"269","??","8842708","P 0","21","","0.0","","12:55:26.424","929","60","19","","8842708","0","",""
"270","172","Over Under Racing 1991 Mazda Miata (Blue)","19","21","1:55.023","67.0","2:04:43.086","12:56:20.165","80","140","19","","935284","0","",""
"271","248","Blakes Garage 2000 Mazda Miata (Black)","15","21","1:53.092","68.1","2:04:43.476","12:56:20.555","93","133","19","","2919703","0","","A"
"272","756","PlumCrazy 1998 dodge Neon (Purple)","19","21","1:59.202","64.6","2:04:46.577","12:56:23.656","93","146","19","","5795572","0","","B"
"273","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","16","21","1:55.203","66.9","2:05:07.510","12:56:44.589","97","176","19","","3566992","0","","A"
"274","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","17","21","1:49.346","70.5","2:05:10.210","12:56:47.289","29","124","29","","1769140","0","","c"
"275","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","22","22","1:51.622","69.0","2:05:13.591","12:56:50.670","103","164","29","","2942111","0","","C"
"276","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","16","22","1:57.318","65.7","2:05:42.416","12:57:19.495","100","159","47","","2749874","0","","A"
"277","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","19","22","2:02.022","63.1","2:05:49.331","12:57:26.410","46","136","48","","3546842","0","","B"
"278","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","P 20","22","2:30.522","51.2","2:05:54.837","12:57:31.916","277","154","49","","4932257","0","","B"
"279","248","Blakes Garage 2000 Mazda Miata (Black)","16","22","1:51.613","69.0","2:06:35.089","12:58:12.168","60","132","51","","2919703","0","","A"
"280","172","Over Under Racing 1991 Mazda Miata (Blue)","20","22","1:57.096","65.8","2:06:40.182","12:58:17.261","54","139","51","","935284","0","",""
"281","756","PlumCrazy 1998 dodge Neon (Purple)","20","22","1:59.891","64.3","2:06:46.468","12:58:23.547","48","145","51","","5795572","0","","B"
"282","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","17","22","1:55.364","66.8","2:07:02.874","12:58:39.953","102","176","52","","3566992","0","","A"
"283","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","23","23","1:54.653","67.2","2:07:08.244","12:58:45.323","115","161","52","","2942111","0","","C"
"284","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","P 18","23","2:08.841","59.8","2:07:19.051","12:58:56.130","91","126","52","","1769140","0","","c"
"285","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","17","23","1:55.885","66.5","2:07:38.301","12:59:15.380","94","158","52","","2749874","0","","A"
"286","??","3457550","P 0","23","","0.0","","12:59:22.825","64","61","54","","3457550","0","",""
"287","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","P 20","23","2:25.743","52.9","2:08:15.074","12:59:52.153","153","140","55","","3546842","0","","B"
"288","248","Blakes Garage 2000 Mazda Miata (Black)","P 17","23","2:28.657","51.8","2:09:03.746","13:00:40.825","162","134","51","","2919703","0","","A"
"289","172","Over Under Racing 1991 Mazda Miata (Blue)","P 21","23","2:26.285","52.7","2:09:06.467","13:00:43.546","166","142","51","","935284","0","",""
"290","756","PlumCrazy 1998 dodge Neon (Purple)","P 21","23","2:41.051","47.8","2:09:27.519","13:01:04.598","159","152","51","","5795572","0","","B"
"291","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","P 18","23","2:37.288","49.0","2:09:40.162","13:01:17.241","289","176","50","","3566992","0","","A"
"292","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","P 24","24","2:37.858","48.8","2:09:46.102","13:01:23.181","301","161","52","","2942111","0","","C"
"293","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","P 18","24","2:37.871","48.8","2:10:16.172","13:01:53.251","432","164","53","","2749874","0","","A"
"294","??","1567614","P 0","24","","0.0","","13:02:22.401","181","166","51","","1567614","0","",""
"295","??","1567614","0","24","","0.0","","13:04:37.931","74","163","59","","1567614","0","",""
"296","??","1567614","0","24","","0.0","","13:06:28.028","77","163","59","","1567614","0","",""
"297","??","1567614","0","24","","0.0","","13:08:19.016","70","162","59","","1567614","0","",""
"298","??","1567614","0","24","","0.0","","13:10:07.768","66","162","59","","1567614","0","",""
"299","??","1567614","0","24","","0.0","","13:11:57.683","67","162","60","","1567614","0","",""
"300","??","1567614","0","24","","0.0","","13:13:46.609","70","161","32","","1567614","0","",""
"301","??","8107393","P 0","24","","0.0","","13:19:43.551","45","51","18","","8107393","0","",""
"302","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","P 19","24","18:26.325","7.0","2:28:42.497","13:20:19.576","4","24","18","","2749874","0","","A"
"303","??","1567614","P 0","24","","0.0","","13:21:42.200","2","24","18","","1567614","0","",""
"304","??","8107393","0","24","","0.0","","13:24:05.986","3","44","18","","8107393","0","",""
"305","??","8842708","P 0","24","","0.0","","13:24:23.448","4","24","18","","8842708","0","",""
"306","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","P 19","24","23:23.738","5.5","2:33:03.900","13:24:40.979","23","42","18","","3566992","0","","A"
"307","??","8107393","0","24","","0.0","","13:26:17.988","2","38","18","","8107393","0","",""
"308","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","P 25","25","26:18.020","4.9","2:36:04.122","13:27:41.201","6","25","18","","2942111","0","","C"
"309","??","8107393","0","25","","0.0","","13:28:29.868","2","37","18","","8107393","0","",""
"310","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","20","25","4:11.378","30.6","2:37:15.278","13:28:52.357","4","38","18","","3566992","0","","A"
"311","??","8107393","0","25","","0.0","","13:30:41.024","2","38","18","","8107393","0","",""
"312","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","21","25","1:54.970","67.0","2:39:10.248","13:30:47.327","2","33","18","","3566992","0","","A"
"313","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","22","25","2:00.390","64.0","2:41:10.638","13:32:47.717","3","36","18","","3566992","0","","A"
"314","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","23","25","1:55.760","66.6","2:43:06.398","13:34:43.477","3","38","18","","3566992","0","","A"
"315","??","8107393","0","25","","0.0","","13:35:03.343","5","39","18","","8107393","0","",""
"316","??","8107393","0","25","","0.0","","13:37:14.972","2","39","18","","8107393","0","",""
"317","??","8842708","P 0","25","","0.0","","13:37:20.596","4","24","18","","8842708","0","",""
"318","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","26","26","10:22.975","12.4","2:46:27.097","13:38:04.176","2","31","18","","2942111","0","","C"
"319","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","24","26","4:01.351","31.9","2:47:07.749","13:38:44.828","4","35","18","","3566992","0","","A"
"320","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 12","26","2:00:01.668","1.1","2:47:19.429","13:38:56.508","27","50","18","","4808597","0","","D"
"321","??","8107393","0","26","","0.0","","13:39:26.124","4","38","18","","8107393","0","",""
"322","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","27","27","1:57.075","65.8","2:48:24.172","13:40:01.251","3","33","18","","2942111","0","","C"
"323","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","25","27","1:57.045","65.8","2:49:04.794","13:40:41.873","4","35","18","","3566992","0","","A"
"324","??","8107393","0","27","","0.0","","13:41:36.813","3","34","18","","8107393","0","",""
"325","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","P 20","27","22:06.159","5.8","2:50:48.656","13:42:25.735","7","24","18","","2749874","0","","A"
"326","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","26","27","1:57.134","65.8","2:51:01.928","13:42:39.007","4","41","18","","3566992","0","","A"
"327","978","Beer Money Racing 1978 Chevy Camaro (Silver)","13","27","4:11.421","30.6","2:51:30.850","13:43:07.929","3","44","18","","4808597","0","","D"
"328","??","8842708","P 0","27","","0.0","","13:43:33.345","4","24","18","","8842708","0","",""
"329","??","8107393","P 0","27","","0.0","","13:44:41.285","28","48","18","","8107393","0","",""
"330","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","P 27","27","2:13.301","57.8","2:53:15.229","13:44:52.308","20","47","18","","3566992","0","","A"
"331","978","Beer Money Racing 1978 Chevy Camaro (Silver)","14","27","1:54.082","67.5","2:53:24.932","13:45:02.011","4","47","18","","4808597","0","","D"
"332","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","P 21","27","5:07.742","25.0","2:55:56.398","13:47:33.477","6","25","18","","2749874","0","","A"
"333","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","28","28","7:43.574","16.6","2:56:07.746","13:47:44.825","2","36","18","","2942111","0","","C"
"334","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","28","28","3:43.471","34.5","2:56:58.700","13:48:35.779","4","36","18","","3566992","0","","A"
"335","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","29","29","2:00.162","64.1","2:58:58.862","13:50:35.941","2","39","18","","3566992","0","","A"
"336","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 15","29","6:46.655","18.9","3:00:11.587","13:51:48.666","68","53","18","","4808597","0","","D"
"337","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","30","30","3:58.052","32.4","3:02:56.914","13:54:33.993","2","36","18","","3566992","0","","A"
"338","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","31","31","1:59.264","64.6","3:04:56.178","13:56:33.257","2","34","18","","3566992","0","","A"
"339","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","P 22","31","10:34.766","12.1","3:06:31.164","13:58:08.243","4","24","18","","2749874","0","","A"
"340","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","P 29","31","10:29.528","12.2","3:06:37.274","13:58:14.353","8","26","18","","2942111","0","","C"
"341","??","8842708","P 0","31","","0.0","","13:58:28.186","14","25","18","","8842708","0","",""
"342","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","P 32","32","2:38.908","48.5","3:07:35.086","13:59:12.165","22","44","18","","3566992","0","","A"
"343","??","4455434","P 0","32","","0.0","","14:23:04.907","41","38","18","","4455434","0","",""
"344","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","P 33","33","24:29.791","5.2","3:32:04.877","14:23:41.956","25","43","18","","3566992","0","","A"
"345","??","8842708","P 0","33","","0.0","","14:24:06.548","5","24","18","","8842708","0","",""
"346","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 16","33","33:13.368","3.9","3:33:24.955","14:25:02.034","37","52","18","","4808597","0","","D"
"347","??","4455434","0","33","","0.0","","14:26:10.255","2","38","18","","4455434","0","",""
"348","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","P 23","33","29:02.632","4.4","3:35:33.796","14:27:10.875","2","23","18","","2749874","0","","A"
"349","978","Beer Money Racing 1978 Chevy Camaro (Silver)","17","33","2:27.505","52.2","3:35:52.460","14:27:29.539","4","40","18","","4808597","0","","D"
"350","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","34","34","4:37.366","27.8","3:36:42.243","14:28:19.322","4","38","18","","3566992","0","","A"
"351","978","Beer Money Racing 1978 Chevy Camaro (Silver)","18","34","2:04.680","61.8","3:37:57.140","14:29:34.219","3","42","18","","4808597","0","","D"
"352","??","4455434","0","34","","0.0","","14:30:06.970","3","35","18","","4455434","0","",""
"353","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","35","35","2:02.331","63.0","3:38:44.574","14:30:21.653","4","40","18","","3566992","0","","A"
"354","978","Beer Money Racing 1978 Chevy Camaro (Silver)","19","35","2:01.498","63.4","3:39:58.638","14:31:35.717","3","41","18","","4808597","0","","D"
"355","??","4455434","0","35","","0.0","","14:32:07.693","5","36","18","","4455434","0","",""
"356","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","36","36","1:59.980","64.2","3:40:44.554","14:32:21.633","3","37","18","","3566992","0","","A"
"357","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","37","37","1:56.268","66.3","3:42:40.822","14:34:17.901","3","34","18","","3566992","0","","A"
"358","978","Beer Money Racing 1978 Chevy Camaro (Silver)","20","37","4:02.346","31.8","3:44:00.984","14:35:38.063","2","38","18","","4808597","0","","D"
"359","??","4455434","0","37","","0.0","","14:36:05.763","2","33","18","","4455434","0","",""
"360","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","38","38","1:57.133","65.8","3:44:37.955","14:36:15.034","2","35","18","","3566992","0","","A"
"361","??","8842708","P 0","38","","0.0","","14:37:36.628","9","25","18","","8842708","0","",""
"362","978","Beer Money Racing 1978 Chevy Camaro (Silver)","21","38","1:59.215","64.6","3:46:00.199","14:37:37.278","5","38","18","","4808597","0","","D"
"363","978","Beer Money Racing 1978 Chevy Camaro (Silver)","22","38","2:00.859","63.7","3:48:01.058","14:39:38.137","3","44","18","","4808597","0","","D"
"364","??","4455434","0","38","","0.0","","14:40:01.365","3","33","18","","4455434","0","",""
"365","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","39","39","3:55.227","32.8","3:48:33.182","14:40:10.261","5","44","18","","3566992","0","","A"
"366","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","P 24","39","16:25.877","7.8","3:51:59.673","14:43:36.752","4","24","18","","2749874","0","","A"
"367","??","4455434","0","39","","0.0","","14:43:57.745","2","32","18","","4455434","0","",""
"368","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","40","40","3:54.732","32.8","3:52:27.914","14:44:04.993","5","36","18","","3566992","0","","A"
"369","978","Beer Money Racing 1978 Chevy Camaro (Silver)","23","40","5:58.489","21.5","3:53:59.547","14:45:36.626","4","39","18","","4808597","0","","D"
"370","??","4455434","0","40","","0.0","","14:45:54.222","45","173","18","","4455434","0","",""
"371","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","41","41","1:55.661","66.6","3:54:23.575","14:46:00.654","71","175","18","","3566992","0","","A"
"372","900","TAG 1993 Mazda Miata (Grey)","10","41","2:00:49.568","1.1","3:54:31.372","14:46:08.451","45","158","63","","813536","0","","A"
"373","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","21","41","1:46:30.166","1.2","3:54:45.240","14:46:22.319","26","132","65","","3546842","0","","B"
"374","??","3665648","0","41","","0.0","","14:46:23.489","71","149","65","","3665648","0","",""
"375","248","Blakes Garage 2000 Mazda Miata (Black)","18","41","1:46:00.567","1.2","3:55:04.313","14:46:41.392","39","130","65","","2919703","0","","A"
"376","172","Over Under Racing 1991 Mazda Miata (Blue)","22","41","1:45:59.578","1.2","3:55:06.045","14:46:43.124","38","139","65","","935284","0","",""
"377","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","21","41","1:49:43.735","1.2","3:55:38.572","14:47:15.651","75","158","64","","4932257","0","","B"
"378","978","Beer Money Racing 1978 Chevy Camaro (Silver)","24","41","1:59.536","64.4","3:55:59.083","14:47:36.162","64","178","64","","4808597","0","","D"
