"#","No.","Name","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm","Class"
"438","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","30","51","1:31:39.183","1.4","4:38:16.457","15:29:53.536","58","166","63","","2942111","0","","C"
"439","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","23","51","5:57.772","21.5","4:38:28.796","15:30:05.875","10","125","63","","1769140","0","","c"
"440","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","35","51","6:14.830","20.6","4:38:36.579","15:30:13.658","49","161","63","","2749874","0","","A"
"441","??","3665648","0","51","","0.0","","15:30:15.352","38","149","63","","3665648","0","",""
"442","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","29","51","5:50.733","22.0","4:38:42.693","15:30:19.772","51","158","62","","4932257","0","","B"
"443","978","Beer Money Racing 1978 Chevy Camaro (Silver)","30","51","2:04.504","61.9","4:38:44.586","15:30:21.665","48","181","59","","4808597","0","","D"
"444","??","3459405","0","51","","0.0","","15:30:53.761","41","160","63","","3459405","0","",""
"445","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","52","52","1:57.158","65.8","4:39:54.313","15:31:31.392","48","175","63","","3566992","0","","A"
"446","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","26","52","34:10.464","3.8","4:39:57.045","15:31:34.124","19","131","63","","3546842","0","","B"
"447","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","31","52","1:49.321","70.5","4:40:05.778","15:31:42.857","53","165","63","","2942111","0","","C"
"448","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","24","52","1:54.874","67.1","4:40:23.670","15:32:00.749","14","125","63","","1769140","0","","c"
"449","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","36","52","2:02.494","62.9","4:40:39.073","15:32:16.152","47","158","73","","2749874","0","","A"
"450","??","3665648","0","52","","0.0","","15:32:18.621","38","146","73","","3665648","0","",""
"451","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","30","52","2:02.803","62.7","4:40:45.496","15:32:22.575","54","157","73","","4932257","0","","B"
"452","978","Beer Money Racing 1978 Chevy Camaro (Silver)","31","52","2:03.686","62.3","4:40:48.272","15:32:25.351","51","179","73","","4808597","0","","D"
"453","??","3459405","0","52","","0.0","","15:32:48.474","39","159","73","","3459405","0","",""
"454","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","53","53","1:55.491","66.7","4:41:49.804","15:33:26.883","48","177","73","","3566992","0","","A"
"455","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","32","53","1:49.931","70.1","4:41:55.709","15:33:32.788","45","165","73","","2942111","0","","C"
"456","??","6747406","0","53","","0.0","","15:33:47.801","50","158","73","","6747406","0","",""
"457","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","27","53","2:16.707","56.4","4:42:13.752","15:33:50.831","19","130","73","","3546842","0","","B"
"458","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","25","53","1:51.798","68.9","4:42:15.468","15:33:52.547","10","124","73","","1769140","0","","c"
"459","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","37","53","2:03.453","62.4","4:42:42.526","15:34:19.605","40","161","73","","2749874","0","","A"
"460","??","3665648","0","53","","0.0","","15:34:19.894","33","150","73","","3665648","0","",""
"461","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","31","53","1:58.354","65.1","4:42:43.850","15:34:20.929","49","156","73","","4932257","0","","B"
"462","978","Beer Money Racing 1978 Chevy Camaro (Silver)","32","53","1:58.159","65.2","4:42:46.431","15:34:23.510","54","177","73","","4808597","0","","D"
"463","??","3459405","0","53","","0.0","","15:34:42.087","40","160","73","","3459405","0","",""
"464","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","33","53","1:46.994","72.0","4:43:42.703","15:35:19.782","49","162","73","","2942111","0","","C"
"465","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","54","54","1:55.158","66.9","4:43:44.962","15:35:22.041","46","173","73","","3566992","0","","A"
"466","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","26","54","1:53.900","67.6","4:44:09.368","15:35:46.447","11","125","73","","1769140","0","","c"
"467","??","6747406","0","54","","0.0","","15:35:47.613","51","160","73","","6747406","0","",""
"468","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","28","54","2:10.012","59.3","4:44:23.764","15:36:00.843","20","133","73","","3546842","0","","B"
"469","??","3665648","0","54","","0.0","","15:36:20.642","31","146","73","","3665648","0","",""
"470","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","32","54","2:02.900","62.7","4:44:46.750","15:36:23.829","49","160","73","","4932257","0","","B"
"471","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","38","54","2:05.179","61.5","4:44:47.705","15:36:24.784","51","160","73","","2749874","0","","A"
"472","978","Beer Money Racing 1978 Chevy Camaro (Silver)","33","54","2:03.223","62.5","4:44:49.654","15:36:26.733","58","179","73","","4808597","0","","D"
"473","??","3459405","0","54","","0.0","","15:36:36.456","36","160","73","","3459405","0","",""
"474","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","39","54","14:20.287","9.0","4:59:07.992","15:50:45.071","48","153","74","","2749874","0","","A"
"475","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","55","55","15:30.890","8.3","4:59:15.852","15:50:52.931","50","169","74","","3566992","0","","A"
"476","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","29","55","15:21.729","8.4","4:59:45.493","15:51:22.572","18","120","74","","3546842","0","","B"
"477","978","Beer Money Racing 1978 Chevy Camaro (Silver)","34","55","15:07.415","8.5","4:59:57.069","15:51:34.148","40","166","74","","4808597","0","","D"
"478","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","33","55","15:14.168","8.4","5:00:00.918","15:51:37.997","45","149","74","","4932257","0","","B"
"479","??","3459405","0","55","","0.0","","15:51:56.147","37","151","74","","3459405","0","",""
"480","??","3665648","0","55","","0.0","","15:52:25.596","22","137","74","","3665648","0","",""
"481","207","Williams Racing Group 1995 Mazda Miata (Black/Yellow)","40","55","2:01.679","63.3","5:01:09.671","15:52:46.750","34","151","74","","2749874","0","","A"
"482","732","Hole Lotta Less Laps 2010 Mini Cooper (Blue)","56","56","1:56.480","66.1","5:01:12.332","15:52:49.411","39","166","74","","3566992","0","","A"
"483","11","Red Shoe Racing 2002 Ford Focus SVT (Surfer Silver)","30","56","2:05.114","61.6","5:01:50.607","15:53:27.686","17","122","57","","3546842","0","","B"
